preset_id,display_name,triggers,best_for,avoid_for,theme_bias,template_bias,color_mood,typography,layout_bias,component_bias,effects,avoid
executive-minimal,Executive Minimal,"executive,minimal,clean,consulting,board,leadership,高管,极简,克制,咨询风,董事会","Board reports; strategy decks; decision memos; formal updates","Youth brands; entertainment launches; highly expressive campaigns",enterprise-light,"business-consulting;project-review","White or near-white background; charcoal text; one restrained accent; high contrast","Neutral sans; strong title hierarchy; few weights","Low to medium density; generous margins; single-message, comparison, summary","Native text; subtle callouts; simple charts; sparse icons","Static or subtle reveals; minimal shadows","Overdecorated gradients; emoji icons; tiny text; crowded cards"
saas-product-clean,SaaS Product Clean,"saas,product,software,b2b,platform,clean,modern,startup,SaaS,产品,平台,软件,现代","Product proposals; feature launches; customer demos; platform overview","Legal filings; conservative finance board packs",business-blue,"product-proposal;sales-deck","Light surface; blue or teal primary; soft accent; clear CTA color","Modern sans; clear section labels; friendly metric numerals","Medium density; screenshot plus text; feature grids; roadmap","Image-text; metric cards; process nodes; product screenshots","Subtle depth; smooth but PPTX-safe transitions","Generic app mockups; excessive purple gradients; hard-to-edit glass effects"
technical-dark,Technical Dark,"technical,dark,developer,architecture,infra,security,ai,深色,技术,架构,开发者,安全","Technical architecture; AI platform; cybersecurity; developer tools","Print-heavy reports; conservative executive decks without tech context",default-dark,"technical-architecture","Dark navy/black; cyan/green accent; dim grid lines; high contrast labels","Condensed or neutral sans; optional mono for code labels","Medium density; architecture, process-flow, matrix; strong diagrams","Architecture nodes; line charts; code-like labels; icon system","Glow accents only as decoration; static diagrams","Neon overload; low contrast gray text; rasterized architecture labels"
editorial-premium,Editorial Premium,"editorial,premium,luxury,magazine,brand,storytelling,高级感,杂志感,品牌,叙事,大图","Brand stories; product vision; premium services; keynote-style decks","Dense quarterly reports; technical implementation details",enterprise-light,"sales-deck;product-proposal","Warm neutrals; black/ivory; muted gold or deep accent","Elegant serif/sans pairing if available; large display titles","Low density; full-bleed images; strong asymmetry; section pages","Large image; quote; callout; minimal metrics","Elegant fades; no complex animation dependence","Crowded tables; clipart; unlicensed imagery; overuse of gold"
data-ops-dashboard,Data Ops Dashboard,"dashboard,data,analytics,ops,metrics,kpi,reporting,数据,看板,指标,运营,复盘","Operating reviews; KPI dashboards; analytics reports; performance updates","Emotional brand storytelling; sparse keynote decks",enterprise-light,"data-report;project-review","Light or dark neutral base; semantic status colors; chart palette consistency","Legible sans; tabular numbers where possible; compact captions","High density but structured; kpi-dashboard, table-report, matrix","Metric cards; tables; bar/line charts; status callouts","Mostly static; use color and hierarchy over effects","Tiny labels; unlabeled charts; color-only meaning; decorative charts"
trust-authority,Trust Authority,"trust,authority,enterprise,government,healthcare,legal,compliance,可信,权威,政务,医疗,法务,合规","Healthcare; government; legal; compliance; enterprise trust decks","Gen Z campaigns; experimental consumer branding",enterprise-light,"business-consulting;project-review","White/blue/gray; conservative accent; strong accessibility contrast","Plain sans; calm hierarchy; clear footnotes","Medium density; evidence-first; tables and summaries","Tables; callouts; source footers; restrained icons","Static; no playful effects","Glassmorphism; neon; unverified claims; weak source labels"
bold-startup,Bold Startup,"startup,bold,vibrant,launch,creative,founder,融资,创业,发布,大胆,鲜明","Fundraising; launch decks; startup narratives; creative product stories","Regulated industries; formal audit reports",tech-gradient,"product-proposal;sales-deck","Bright accent with neutral base; strong section contrast","Bold sans; large numbers; punchy titles","Medium variance; cover, single-message, three-card, roadmap","Metric cards; feature cards; bold callouts; icons","Energetic but PPTX-safe transitions; gradient only if editable fallback is clear","Uncontrolled color chaos; illegible contrast; every slide as cards"
warm-human,Warm Human,"warm,human,community,education,wellness,service,温暖,人文,教育,社区,服务,健康","Education; wellness; nonprofit; HR; customer service stories","Cybersecurity; infra architecture; dense finance analytics",default-light,"project-review;product-proposal","Warm off-white; soft green/peach/blue accents; gentle contrast","Friendly sans; readable body; softer title weight","Low to medium density; image-text, process-flow, timeline","People images; quotes; process steps; gentle callouts","Subtle, calm transitions","Overly cute illustrations; low contrast pastel text; stock-photo overload"
scientific-clarity,Scientific Clarity,"research,science,medical,academic,evidence,lab,科研,科学,研究,医学,证据","Research reports; medical evidence; scientific project updates","Sales-heavy emotional pitches",enterprise-light,"data-report;technical-architecture","White base; precise blue/green accents; restrained charts","Clean sans; clear captions; source labels; equation/code optional","Medium density; charts, tables, process, architecture","Charts; tables; citation footers; diagram labels","Static; clarity over effects","Decorative 3D charts; missing units; unsupported claims"
financial-precision,Financial Precision,"finance,banking,investor,insurance,accounting,revenue,金融,银行,投资人,保险,财务,营收","Investor updates; finance reports; banking/insurance decks","Youth lifestyle campaigns; playful product launches",business-blue,"data-report;business-consulting","White/navy/gray; green only for positive; red/amber semantic warnings","Professional sans; tabular numbers; compact footnotes","Medium to high density; KPI, tables, waterfall-like comparisons","Metric cards; tables; bar/line charts; source footers","Static; no decorative motion","AI purple gradients; flashy neon; unlabeled financial figures"
ai-native-focus,AI Native Focus,"ai,copilot,automation,intelligence,agent,workflow,AI,智能体,自动化,大模型,工作流","AI product proposals; automation platforms; intelligent workflow decks","Conservative compliance reports without AI context",tech-gradient,"product-proposal;technical-architecture","Neutral dark or light base; blue/cyan/violet accent used sparingly","Modern sans; optional mono labels; strong concept titles","Medium variance; architecture, process-flow, comparison, roadmap","Process nodes; architecture diagrams; feature cards; metric proof","Soft glow or gradient accents with PPTX fallback","Generic brain icons; excessive purple-pink gradients; vague AI claims"
classic-consulting-blue,Classic Consulting Blue,"consulting,corporate,blue,professional,proposal,商务蓝,企业,咨询,专业,方案","Client proposals; enterprise consulting; capability introduction","Highly differentiated brand/keynote decks",business-blue,"business-consulting;sales-deck","Blue/white/gray; conservative accent; clean chart palette","Professional sans; clear title/body distinction","Medium density; two-column, comparison, roadmap, summary","Comparison panels; process nodes; bullet lists; charts","Subtle shadows; static by default","Too many icons; generic three-card repetition; decorative gradients"
